,CAF00106-20210607T130839-140839_f1737-f1786.mp4,CAF00106-20210607T120839-130839_f8176-f8208.mp4,CAF00106-20210607T120839-130839_f8523-f8563.mp4,CAF00106-20210607T120839-130839_f10873-f10931.mp4,CAF00106-20210607T120839-130839_f11752-f11776.mp4,CAF00106-20210607T120839-130839_f14137-f14227.mp4,CAF00106-20210607T120839-130839_f14583-f14605.mp4,CAF00106-20210607T120839-130839_f15254-f15289.mp4,CAF00106-20210607T120839-130839_f15689-f15734.mp4,CAF00106-20210607T120839-130839_f16419-f16450.mp4,CAF00106-20210607T120839-130839_f17101-f17106.mp4,CAF00106-20210607T120839-130839_f17162-f17179.mp4,CAF00106-20210607T120839-130839_f18392-f18454.mp4,CAF00106-20210607T120839-130839_f19343-f19450.mp4,CAF00106-20210607T120839-130839_f46176-f46208.mp4,CAF00106-20210607T120839-130839_f46933-f46967.mp4,CAF00106-20210607T120839-130839_f47773-f47852.mp4,CAF00106-20210607T120839-130839_f48121-f48161.mp4,CAF00106-20210607T120839-130839_f48439-f48471.mp4,CAF00106-20210607T120839-130839_f48701-f48752.mp4,CAF00106-20210607T120839-130839_f49125-f49188.mp4,CAF00106-20210607T120839-130839_f49620-f49654.mp4,CAF00106-20210607T120839-130839_f50229-f50294.mp4,CAF00106-20210607T120839-130839_f50943-f50977.mp4,CAF00106-20210607T120839-130839_f19759-f19794.mp4,CAF00106-20210607T120839-130839_f51206-f51240.mp4,CAF00106-20210607T120839-130839_f51576-f51621.mp4,CAF00106-20210607T120839-130839_f52154-f52191.mp4,CAF00106-20210607T130839-140839_f711-f758.mp4,CAF00106-20210607T130839-140839_f1084-f1169.mp4,CAF00106-20210607T130839-140839_f1737-f1786.mp4,CAF00106-20210607T130839-140839_f1835-f1864.mp4,CAF00106-20210607T130839-140839_f1968-f1976.mp4,CAF00106-20210607T130839-140839_f3269-f3285.mp4,CAF00106-20210607T130839-140839_f4359-f4427.mp4,CAF00106-20210607T130839-140839_f6689-f6704.mp4,CAF00106-20210607T130839-140839_f6719-f6739.mp4,CAF00106-20210607T130839-140839_f8777-f8822.mp4,CAF00106-20210607T130839-140839_f15130-f15139.mp4,CAF00106-20210607T130839-140839_f25157-f25168.mp4,CAF00106-20210607T130839-140839_f25170-f25181.mp4,CAF00106-20210607T130839-140839_f25170-f25181.mp4,CAF00106-20210607T130839-140839_f25904-f25923.mp4,CAF00106-20210607T130839-140839_f26984-f27018.mp4,CAF00106-20210607T130839-140839_f27269-f27291.mp4,CAF00106-20210607T130839-140839_f27312-f27339.mp4,CAF00106-20210607T130839-140839_f27430-f27487.mp4,CAF00106-20210607T130839-140839_f28337-f28346.mp4,CAF00106-20210607T130839-140839_f28616-f28621.mp4,CAF00106-20210607T130839-140839_f29060-f29106.mp4,CAF00106-20210607T130839-140839_f29704-f29731.mp4,CAF00106-20210607T130839-140839_f29966-f30073.mp4,CAF00106-20210607T130839-140839_f30664-f30685.mp4,CAF00106-20210607T130839-140839_f32187-f32213.mp4,CAF00106-20210607T130839-140839_f32506-f32544.mp4,CAF00106-20210607T130839-140839_f32952-f32963.mp4,CAF00106-20210607T130839-140839_f33250-f33288.mp4,CAF00106-20210607T130839-140839_f34379-f34443.mp4,CAF00106-20210607T130839-140839_f35438-f35491.mp4,CAF00106-20210607T130839-140839_f35659-f35679.mp4,CAF00106-20210607T130839-140839_f36288-f36304.mp4,CAF00106-20210607T130839-140839_f36932-f36943.mp4,CAF00106-20210607T190842-200843_f41928-f41937.mp4,CAF00106-20210607T190842-200843_f43178-f43194.mp4,CAF00106-20210607T190842-200843_f51570-f51579.mp4,CAF00106-20210607T190842-200843_f51596-f51622.mp4,CAF00106-20210607T190842-200843_f52750-f52764.mp4,CAF00106-20210607T190842-200843_f53185-f53228.mp4,CAF00106-20210607T200843-210843_f4428-f4479.mp4,CAF00106-20210607T200843-210843_f13799-f13857.mp4,CAF00106-20210607T200843-210843_f14140-f14164.mp4,CAF00106-20210607T200843-210843_f14692-f14703.mp4,CAF00106-20210607T200843-210843_f14819-f14825.mp4,CAF00106-20210607T200843-210843_f16038-f16053.mp4,CAF00106-20210607T200843-210843_f16113-f16149.mp4,CAF00106-20210607T200843-210843_f16407-f16455.mp4,CAF00106-20210607T200843-210843_f17038-f17060.mp4,CAF00106-20210607T200843-210843_f17297-f17323.mp4,CAF00106-20210607T200843-210843_f17486-f17495.mp4,CAF00106-20210607T200843-210843_f18401-f18442.mp4,CAF00106-20210607T200843-210843_f18616-f18666.mp4,CAF00106-20210607T200843-210843_f19107-f19174.mp4,CAF00106-20210607T200843-210843_f20811-f20838.mp4,CAF00106-20210607T200843-210843_f21312-f21336.mp4,CAF00106-20210607T200843-210843_f21538-f21576.mp4,CAF00106-20210607T200843-210843_f21811-f21846.mp4,CAF00106-20210607T200843-210843_f21921-f21937.mp4,CAF00106-20210607T200843-210843_f23276-f23326.mp4,CAF00106-20210607T200843-210843_f23535-f23565.mp4,CAF00106-20210607T200843-210843_f23662-f23675.mp4,CAF00106-20210607T200843-210843_f24514-f24527.mp4,CAF00106-20210607T200843-210843_f24514-f24527.mp4,CAF00106-20210607T200843-210843_f24818-f24830.mp4,CAF00106-20210607T200843-210843_f26545-f26556.mp4,CAF00106-20210607T120839-130839_f45832-f45875.mp4,CAF00106-20210607T120839-130839_f45152-f45197.mp4,CAF00106-20210607T120839-130839_f44847-f44942.mp4,CAF00106-20210607T120839-130839_f44109-f44175.mp4,CAF00106-20210607T200843-210843_f26662-f26677.mp4,CAF00106-20210607T120839-130839_f43616-f43682.mp4
T-30:T-25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T-25:T-20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T-20:T-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0
T-15:T-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T-10:T-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
T-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
T-0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,0,1
T+1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,2,1,1,1
T+2,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1
T+3,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1
T+4,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T+5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T+5:T+10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
T+10:T+15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
T+15:T+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T+20:T+25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
T+25:T+30,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,