,CAF00099-20210607T110838-120839_f19879-f19987.mp4,CAF00099-20210607T110838-120839_f22071-f22092.mp4,CAF00099-20210607T110838-120839_f26501-f26512.mp4,CAF00099-20210607T120839-130839_f10695-f10703.mp4,CAF00099-20210607T120839-130839_f22023-f22039.mp4,CAF00099-20210607T120839-130839_f26700-f26828.mp4,CAF00099-20210607T120839-130839_f27942-f27951.mp4,CAF00099-20210607T120839-130839_f30450-f30461.mp4,CAF00099-20210607T120839-130839_f30690-f30743.mp4,CAF00099-20210607T120839-130839_f30772-f30774.mp4,CAF00099-20210607T120839-130839_f38921-f39041.mp4,CAF00099-20210607T120839-130839_f39067-f39134.mp4,CAF00099-20210607T120839-130839_f42562-f42568.mp4,CAF00099-20210607T120839-130839_f46987-f46994.mp4,CAF00099-20210607T120839-130839_f52792-f52829.mp4,CAF00099-20210607T120839-130839_f8816-f8840.mp4,CAF00099-20210607T130839-140839_f11707-f11719.mp4,CAF00099-20210607T130839-140839_f19813-f19929.mp4,CAF00099-20210607T130839-140839_f34973-f35001.mp4,CAF00099-20210607T130839-140839_f39079-f39097.mp4,CAF00099-20210607T130839-140839_f41095-f41170.mp4,CAF00099-20210607T130839-140839_f41564-f41575.mp4,CAF00099-20210607T130839-140839_f45026-f45034.mp4,CAF00099-20210607T130839-140839_f49659-f49672.mp4,CAF00099-20210607T130839-140839_f49683-f49745.mp4,CAF00099-20210607T130839-140839_f52462-f52478.mp4,CAF00099-20210607T140839-150840_f19508-f19526.mp4,CAF00099-20210607T140839-150840_f19535-f19536.mp4,CAF00099-20210607T140839-150840_f19602-f19616.mp4,CAF00099-20210607T140839-150840_f19642-f19658.mp4,CAF00099-20210607T140839-150840_f19694-f19701.mp4,CAF00099-20210607T140839-150840_f20462-f20480.mp4,CAF00099-20210607T140839-150840_f21242-f21248.mp4,CAF00099-20210607T140839-150840_f21292-f21299.mp4,CAF00099-20210607T140839-150840_f22944-f23007.mp4,CAF00099-20210607T140839-150840_f23252-f23263.mp4,CAF00099-20210607T140839-150840_f23835-f23847.mp4,CAF00099-20210607T140839-150840_f23835-f23847.mp4,CAF00099-20210607T140839-150840_f26303-f26317.mp4,CAF00099-20210607T140839-150840_f26321-f26322.mp4,CAF00099-20210607T140839-150840_f40728-f40737.mp4,CAF00099-20210607T150840-160841_f13317-f13353.mp4,CAF00099-20210607T150840-160841_f2201-f2215.mp4,CAF00099-20210607T160841-170841_f17689-f17696.mp4,CAF00099-20210607T160841-170841_f48445-f48479.mp4,CAF00099-20210607T160841-170841_f8630-f8641.mp4,CAF00099-20210607T160841-170841_f9021-f9045.mp4,CAF00099-20210607T170841-180842_f10106-f10133.mp4,CAF00099-20210607T170841-180842_f11652-f11685.mp4,CAF00099-20210607T170841-180842_f12008-f12109.mp4,CAF00099-20210607T170841-180842_f14493-f14539.mp4,CAF00099-20210607T170841-180842_f20802-f20847.mp4,CAF00099-20210607T170841-180842_f20868-f20893.mp4,CAF00099-20210607T170841-180842_f29766-f29863.mp4,CAF00099-20210607T170841-180842_f34766-f34810.mp4,CAF00099-20210607T170841-180842_f49643-f49678.mp4,CAF00099-20210607T170841-180842_f634-f694.mp4,CAF00099-20210607T180842-190842_f23475-f23484.mp4,CAF00099-20210607T200843-210843_f23237-f23237.mp4,CAF00099-20210607T200843-210843_f23242-f23286.mp4,CAF00099-20210607T200843-210843_f34047-f34065.mp4,CAF00099-20210607T200843-210843_f38398-f38415.mp4,CAF00099-20210607T200843-210843_f38442-f38487.mp4,CAF00099-20210607T200843-210843_f51868-f51901.mp4,CAF00099-20210607T200843-210843_f53389-f53503.mp4,CAF00099-20210607T230844-000845_f12143-f12194.mp4,CAF00099-20210607T230844-000845_f12499-f12510.mp4,CAF00099-20210607T230844-000845_f12519-f12534.mp4,CAF00099-20210608T090848-100849_f10658-f10715.mp4,CAF00099-20210608T090848-100849_f19795-f19799.mp4,CAF00099-20210608T090848-100849_f19804-f19880.mp4,CAF00099-20210608T090848-100849_f19882-f19933.mp4,CAF00099-20210608T090848-100849_f52011-f52019.mp4,CAF00099-20210608T090848-100849_f53445-f53452.mp4,CAF00099-20210608T090848-100849_f53509-f53528.mp4,CAF00099-20210607T180842-190842_f23538-f23613.mp4,CAF00099-20210607T180842-190842_f24204-f24220.mp4,CAF00099-20210607T180842-190842_f29471-f29541.mp4,CAF00099-20210607T180842-190842_f31233-f31268.mp4,CAF00099-20210607T180842-190842_f31747-f31758.mp4,CAF00099-20210607T180842-190842_f32311-f32420.mp4,CAF00099-20210607T180842-190842_f35719-f35739.mp4,CAF00099-20210607T180842-190842_f49898-f49906.mp4,CAF00099-20210607T180842-190842_f50069-f50116.mp4,CAF00099-20210607T210843-220844_f25939-f25952.mp4,CAF00099-20210608T050846-060847_f45904-f45980.mp4,CAF00099-20210608T050846-060847_f46231-f46265.mp4,CAF00099-20210608T050846-060847_f46464-f46507.mp4,CAF00099-20210608T050846-060847_f46595-f46603.mp4,CAF00099-20210608T070848-080848_f5559-f5581.mp4,CAF00099-20210608T070848-080848_f5691-f5718.mp4,CAF00099-20210608T070848-080848_f7322-f7330.mp4,CAF00099-20210608T070848-080848_f7397-f7429.mp4,CAF00099-20210608T070848-080848_f9246-f9273.mp4,CAF00099-20210608T070848-080848_f17142-f17227.mp4,CAF00099-20210608T070848-080848_f18735-f18737.mp4,CAF00099-20210608T070848-080848_f18739-f18759.mp4,CAF00099-20210608T070848-080848_f20995-f21008.mp4,CAF00099-20210608T070848-080848_f21013-f21046.mp4,CAF00099-20210608T070848-080848_f38418-f38448.mp4
T-30:T-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-25:T-20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T-20:T-15,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,1,1,0,0,0
T-15:T-10,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T-10:T-5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
T-5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
T-4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
T-3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
T-1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T-0,2,0,0,0,0,1,1,0,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
T+1,2,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
T+2,2,0,0,0,1,1,0,1,1,0,2,1,0,0,0,0,0,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,0,1,0,1,0,1,0,0,0,1,2,1,1,1,1,1
T+3,1,0,0,0,0,1,1,1,1,0,2,1,0,0,1,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,2,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,2,1,1,2,0,1,1,1,1,1,1,2,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
T+4,1,0,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0
T+5,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
T+5:T+10,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
T+10:T+15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T+15:T+20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
T+20:T+25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0
T+25:T+30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0
,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,